Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
8,ad368c74,GitHub,c2eb9e71,data/c2eb9e71/conf/ad368c74.py,175,175,F,,,,,Key
9,ad368c74,GitHub,c2eb9e71,data/c2eb9e71/conf/ad368c74.py,245,245,F,,,,,Key
1783,0b72aeda,GitHub,c2eb9e71,data/c2eb9e71/_/0b72aeda.py,61,61,F,,,,,Credential
2734,aebd6a2f,GitHub,c2eb9e71,data/c2eb9e71/_/aebd6a2f.py,231,231,F,,,,,Key
3191,599d4d36,GitHub,c2eb9e71,data/c2eb9e71/_/599d4d36.py,316,316,F,,,,,Key
3192,3a7343c8,GitHub,c2eb9e71,data/c2eb9e71/_/3a7343c8.py,640,640,F,,,,,Key
3200,c06bf6b9,GitHub,c2eb9e71,data/c2eb9e71/_/c06bf6b9.py,41,41,F,,,,,Key
3201,f7b5f2e6,GitHub,c2eb9e71,data/c2eb9e71/util/f7b5f2e6.py,59,59,F,,,,,Key
3806,c06bf6b9,GitHub,c2eb9e71,data/c2eb9e71/_/c06bf6b9.py,783,783,F,,,,,Key
6531,fae7edf7,GitHub,c2eb9e71,data/c2eb9e71/_/fae7edf7.py,97,97,F,,,,,Key
7226,aebd6a2f,GitHub,c2eb9e71,data/c2eb9e71/_/aebd6a2f.py,215,215,F,,,,,Key
9170,aebd6a2f,GitHub,c2eb9e71,data/c2eb9e71/_/aebd6a2f.py,271,271,F,,,,,Key
9667,c06bf6b9,GitHub,c2eb9e71,data/c2eb9e71/_/c06bf6b9.py,59,59,F,,,,,Key
10402,0b72aeda,GitHub,c2eb9e71,data/c2eb9e71/_/0b72aeda.py,71,71,F,,,,,Password
10403,0b72aeda,GitHub,c2eb9e71,data/c2eb9e71/_/0b72aeda.py,64,64,F,,,,,Password
12187,f7b5f2e6,GitHub,c2eb9e71,data/c2eb9e71/util/f7b5f2e6.py,72,72,F,,,,,Key
12228,1a6832e1,GitHub,c2eb9e71,data/c2eb9e71/_/1a6832e1.py,50,50,F,,,,,Key
12622,aebd6a2f,GitHub,c2eb9e71,data/c2eb9e71/_/aebd6a2f.py,412,412,F,,,,,Key
13327,c06bf6b9,GitHub,c2eb9e71,data/c2eb9e71/_/c06bf6b9.py,373,373,F,,,,,Key
13328,c06bf6b9,GitHub,c2eb9e71,data/c2eb9e71/_/c06bf6b9.py,1069,1069,F,,,,,Key
14770,c24b50ba,GitHub,c2eb9e71,data/c2eb9e71/test/c24b50ba.py,121,121,F,,,,,Key
14972,f9355580,GitHub,c2eb9e71,data/c2eb9e71/_/f9355580.py,541,541,F,,,,,Key
21115,f7b5f2e6,GitHub,c2eb9e71,data/c2eb9e71/util/f7b5f2e6.py,14,14,F,,,,,Key
21930,f9355580,GitHub,c2eb9e71,data/c2eb9e71/_/f9355580.py,150,150,F,,,,,Key
64509,f7b5f2e6,GitHub,c2eb9e71,data/c2eb9e71/util/f7b5f2e6.py,82,82,F,,,,,Key
100195,fae7edf7,GitHub,c2eb9e71,data/c2eb9e71/_/fae7edf7.py,205,205,F,,,,,Secret
100196,fae7edf7,GitHub,c2eb9e71,data/c2eb9e71/_/fae7edf7.py,447,447,F,,,,,Secret
100198,0b72aeda,GitHub,c2eb9e71,data/c2eb9e71/_/0b72aeda.py,146,146,F,,,,,Auth
100199,599d4d36,GitHub,c2eb9e71,data/c2eb9e71/_/599d4d36.py,188,188,F,,,,,Password
100200,ad368c74,GitHub,c2eb9e71,data/c2eb9e71/conf/ad368c74.py,332,332,F,,,,,Password
110035,599d4d36,GitHub,c2eb9e71,data/c2eb9e71/_/599d4d36.py,48,48,F,,,,,API
110036,0b72aeda,GitHub,c2eb9e71,data/c2eb9e71/_/0b72aeda.py,154,154,F,,,,,Key
130014,ad368c74,GitHub,c2eb9e71,data/c2eb9e71/conf/ad368c74.py,325,325,F,,,,,Password
134371,fae7edf7,GitHub,c2eb9e71,data/c2eb9e71/_/fae7edf7.py,56,56,F,,,,,Key
134372,fae7edf7,GitHub,c2eb9e71,data/c2eb9e71/_/fae7edf7.py,540,540,F,,,,,Key
11530468,1a6832e1,GitHub,c2eb9e71,data/c2eb9e71/_/1a6832e1.py,15,15,F,16,24,,,Auth:Key
11530469,3a7343c8,GitHub,c2eb9e71,data/c2eb9e71/_/3a7343c8.py,593,593,F,14,28,,,Key
11530470,fae7edf7,GitHub,c2eb9e71,data/c2eb9e71/_/fae7edf7.py,89,89,F,17,21,,,Key
